timestamp,measurement_session,location_id,location_name_bg,latitude,longitude,temperature_c,nitrate_no3_mg_l,phosphate_po4_mg_l,turbidity_ntu,chlorophyll_a_ug_l
2025-05-15T08:00,morning,sarafovo,Сарафово,42.5695,27.521,17.84,0.397,0.038,3.66,9.79
2025-05-15T16:00,afternoon,sarafovo,Сарафово,42.5695,27.521,19.23,0.368,0.036,3.16,8.32
2025-05-15T08:00,morning,central_beach_burgas,Централен плаж Бургас,42.4924,27.4848,18.9,0.402,0.036,2.76,8.79
2025-05-15T16:00,afternoon,central_beach_burgas,Централен плаж Бургас,42.4924,27.4848,19.79,0.389,0.037,3.05,8.95
2025-05-15T08:00,morning,kraimorie,Крайморие,42.4428,27.4686,17.49,0.377,0.04,3.77,8.97
2025-05-15T16:00,afternoon,kraimorie,Крайморие,42.4428,27.4686,19.87,0.376,0.046,4.13,7.88
2025-05-16T08:00,morning,sarafovo,Сарафово,42.5695,27.521,18.25,0.346,0.031,3.4,10.54
2025-05-16T16:00,afternoon,sarafovo,Сарафово,42.5695,27.521,20.03,0.34,0.032,3.31,10.5
2025-05-16T08:00,morning,central_beach_burgas,Централен плаж Бургас,42.4924,27.4848,19.02,0.405,0.043,4.24,7.5
2025-05-16T16:00,afternoon,central_beach_burgas,Централен плаж Бургас,42.4924,27.4848,20.08,0.427,0.039,4.66,6.22
2025-05-16T08:00,morning,kraimorie,Крайморие,42.4428,27.4686,18.11,0.403,0.043,2.76,8.12
2025-05-16T16:00,afternoon,kraimorie,Крайморие,42.4428,27.4686,19.49,0.411,0.039,2.76,8.98
2025-05-17T08:00,morning,sarafovo,Сарафово,42.5695,27.521,17.62,0.369,0.041,3.63,8.19
2025-05-17T16:00,afternoon,sarafovo,Сарафово,42.5695,27.521,19.15,0.359,0.039,3.34,8.24
2025-05-17T08:00,morning,central_beach_burgas,Централен плаж Бургас,42.4924,27.4848,17.71,0.42,0.05,4.72,9.01
2025-05-17T16:00,afternoon,central_beach_burgas,Централен плаж Бургас,42.4924,27.4848,20.22,0.42,0.045,4.26,9.62
2025-05-17T08:00,morning,kraimorie,Крайморие,42.4428,27.4686,19.36,0.383,0.031,4.33,9.91
2025-05-17T16:00,afternoon,kraimorie,Крайморие,42.4428,27.4686,19.19,0.398,0.029,4.46,9.64
2025-05-18T08:00,morning,sarafovo,Сарафово,42.5695,27.521,18.54,0.409,0.026,3.36,8.91
2025-05-18T16:00,afternoon,sarafovo,Сарафово,42.5695,27.521,20.31,0.373,0.027,3.48,8.94
2025-05-18T08:00,morning,central_beach_burgas,Централен плаж Бургас,42.4924,27.4848,18.42,0.443,0.043,3.53,8.85
2025-05-18T16:00,afternoon,central_beach_burgas,Централен плаж Бургас,42.4924,27.4848,19.82,0.428,0.046,3.66,9.05
2025-05-18T08:00,morning,kraimorie,Крайморие,42.4428,27.4686,18.14,0.378,0.041,3.87,10.92
2025-05-18T16:00,afternoon,kraimorie,Крайморие,42.4428,27.4686,20.43,0.389,0.046,3.66,12.51
2025-05-19T08:00,morning,sarafovo,Сарафово,42.5695,27.521,18.93,0.38,0.03,3.38,7.14
